City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
277,Kusti,SD,82.72,overcast clouds,13.16,32.66,فندق الكوباري - Kobari Hotel
278,Djenne,ML,84.9,broken clouds,13.91,-4.55,Restaurant Kita Kouraou
280,Mutis,CO,81.64,light rain,6.23,-77.4,Paraiso Escondido
288,Bubaque,GW,80.11,broken clouds,11.28,-15.83,Casa Dora
292,Shasta Lake,US,89.01,haze,40.68,-122.37,Shasta Dam Motel
296,San Patricio,MX,89.6,broken clouds,19.22,-104.7,Hotel Cabo Blanco
310,Ramshir,IR,89.6,clear sky,30.89,49.41,بزرگمهر بزرگ زهیریه رامشیر
312,Yarmouth,US,84.0,clear sky,41.71,-70.23,The Inn At Cape Cod
315,Broome,US,82.99,clear sky,42.25,-75.83,Chenango Valley State Park
320,Williamsport,US,84.99,clear sky,41.24,-77.0,Hampton Inn Williamsport-Downtown
335,Acapulco,MX,84.2,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
352,Praia,CV,82.4,broken clouds,14.92,-23.51,LT Aparthotel
353,Keti Bandar,PK,83.95,overcast clouds,24.14,67.45,Haji laloo memon house
354,Kattivakkam,IN,84.2,scattered clouds,13.22,80.32,St. Joseph Thirumana mandapam
355,Gushikawa,JP,82.4,light rain,26.35,127.87,Kirari Guest House
357,Redlands,US,90.0,haze,34.06,-117.18,Dynasty Suites Redlands
364,Matay,EG,87.69,clear sky,28.42,30.78,Nag Aespen
369,Rodrigues Alves,BR,80.6,scattered clouds,-7.74,-72.65,Pousada Aconchego
375,Sulangan,PH,83.93,clear sky,11.14,123.72,Maia's Beach Resort
386,Chirilagua,SV,86.0,scattered clouds,13.22,-88.14,Hogar De Espera Materno
394,Tazmalt,DZ,80.6,broken clouds,36.39,4.4,Hôtel Numédia
400,Isla Mujeres,MX,82.99,overcast clouds,21.23,-86.73,Hotel La Joya Isla Mujeres
401,Wallaceburg,CA,86.0,broken clouds,42.59,-82.39,Days Inn by Wyndham Wallaceburg
411,Touros,BR,82.4,few clouds,-5.2,-35.46,INN NEW HORIZON
413,Calhoun,US,84.2,scattered clouds,42.25,-85.0,Quality Inn
416,Ixtapa,MX,88.0,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
419,San Ramon,US,88.0,haze,37.78,-121.98,San Ramon Marriott
426,Mayo,US,90.0,broken clouds,38.89,-76.51,Resorts Resource Group International
434,Goderich,CA,86.0,clear sky,43.75,-81.72,Harmony Inn
436,Ayutla,MX,83.41,light rain,20.12,-104.33,Hotel Restaurant La Paz
437,Vilhena,BR,89.6,few clouds,-12.74,-60.15,Hotel Mirage
438,Nishihara,JP,82.4,light intensity shower rain,26.18,127.76,Minshuku Agaihama
442,Iacu,BR,80.98,broken clouds,-12.77,-40.21,Pousada e Restaurante Portal da Chapada
443,Alamosa,US,80.6,clear sky,37.47,-105.87,Best Western Alamosa Inn
449,Bansdih,IN,84.9,clear sky,25.88,84.22,Appu alli
450,Grenville,GD,86.0,few clouds,12.12,-61.62,Valley Breeze Guest House
455,Shenjiamen,CN,80.2,clear sky,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
458,Port Blair,IN,81.43,overcast clouds,11.67,92.75,Fortune Resort Bay Island
471,El Retorno,CO,83.28,broken clouds,2.33,-72.63,Salón de belleza Valentina
479,Aquiraz,BR,84.2,few clouds,-3.9,-38.39,Hotel Laguna Blu
488,Deshnok,IN,89.28,clear sky,27.8,73.34,Royal Karni palace
493,Akdepe,TM,80.6,clear sky,42.06,59.38,Мой дом
512,Gilgit,PK,84.31,clear sky,35.92,74.31,Tourist Hamlet Gilgit
535,Cabedelo,BR,82.4,few clouds,-6.98,-34.83,Lua Mansa Pousada
538,Bathsheba,BB,87.8,shower rain,13.22,-59.52,Atlantis Hotel
540,Oranjestad,AW,86.0,few clouds,12.52,-70.03,Divi Village Golf & Beach Resort
551,Tharad,IN,80.01,moderate rain,24.4,71.63,Shree Nandan Couriyar Service
553,Senador Jose Porfirio,BR,89.24,scattered clouds,-2.59,-51.95,MORADA DO SOL pousada
554,Fukue,JP,81.91,clear sky,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
566,Tarakan,ID,80.71,broken clouds,3.3,117.63,Hotel D' CaLia Tarakan
