City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
164,Odweyne,SO,9.41,45.06,74.62,53,100,18.03,overcast clouds
165,Faanui,PF,-16.48,-151.75,76.5,78,35,19.89,scattered clouds
166,Pacific Grove,US,36.62,-121.92,78.01,60,40,4.7,smoke
167,Pevek,RU,69.7,170.31,37.69,96,100,4.74,overcast clouds
168,Muravlenko,RU,63.79,74.52,53.65,92,100,5.93,overcast clouds
169,Charo,MX,19.75,-101.05,75.2,38,20,4.7,few clouds
170,Nuuk,GL,64.18,-51.72,41.0,93,99,4.7,overcast clouds
171,Viedma,AR,-40.81,-63.0,69.01,28,100,8.01,overcast clouds
172,Lovington,US,32.94,-103.35,93.0,29,5,11.41,clear sky
173,Mascote,BR,-15.56,-39.3,68.61,93,100,4.21,light rain
174,Smithers,CA,54.78,-127.17,55.4,76,75,2.24,broken clouds
175,Chuy,UY,-33.7,-53.46,61.48,63,0,10.71,clear sky
176,Robertsport,LR,6.75,-11.37,76.44,89,93,17.13,light rain
177,Porto Novo,BJ,6.5,2.6,77.0,88,20,13.87,few clouds
178,Mount Gambier,AU,-37.83,140.77,37.4,100,100,4.7,overcast clouds
179,Nola,IT,40.92,14.53,80.6,78,20,5.82,few clouds
180,Avera,US,33.19,-82.53,84.2,51,90,9.17,light rain
181,Krasnoselkup,RU,65.7,82.47,48.67,93,82,1.01,broken clouds
182,Ucluelet,CA,48.93,-125.55,63.0,87,75,4.7,broken clouds
183,Luderitz,NA,-26.65,15.16,59.77,69,0,12.08,clear sky
184,Paita,PE,-5.09,-81.11,68.7,63,0,17.47,clear sky
185,Camacha,PT,33.08,-16.33,75.2,73,40,14.99,scattered clouds
186,Golfito,CR,8.64,-83.17,81.16,82,100,4.85,moderate rain
187,Salamanca,ES,40.83,-6.0,82.99,29,0,9.6,clear sky
188,Portland,US,45.52,-122.68,73.0,56,1,4.7,clear sky
189,Lebu,CL,-37.62,-73.65,50.72,90,100,20.69,light rain
190,Vila Velha,BR,-20.33,-40.29,71.6,64,75,20.8,broken clouds
191,Miles City,US,46.41,-105.84,78.8,27,1,10.29,clear sky
192,Orlik,RU,52.52,99.83,42.21,69,57,0.16,broken clouds
193,Antofagasta,CL,-23.65,-70.4,59.0,67,40,10.29,scattered clouds
194,Poum,NC,-20.23,164.02,71.85,82,93,16.8,overcast clouds
195,Vikulovo,RU,56.82,70.61,50.32,96,0,5.59,clear sky
196,Meulaboh,ID,4.14,96.13,77.63,82,100,3.47,overcast clouds
197,Morada Nova,BR,-5.11,-38.37,95.97,21,16,6.46,few clouds
